authorID,rank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
1971971201,15429,Christian Tominski,69,2324,47,163,2114,20,
2100348147,14084,Julio Soria,461,5256,30,406,984,15,
2153815270,14593,Anup Basu,268,2796,28,471,67,4,
2167821236,15253,Maxine D. Brown,58,1167,26,544,839,14,
275330042,14637,Gordon Kindlmann,97,4991,32,353,1405,19,
37046778,15182,Yarden Livnat,47,1705,22,750,916,11,
566355492,14775,Bernice E. Rogowitz,119,2959,21,841,749,11,
1180447748,16301,Halldor Janetzko,52,662,22,777,227,8,
2019979581,14916,Ari Korhonen,108,2139,24,677,868,10,
2171394160,15434,Kazumi Saito,107,1552,22,767,125,5,
2280587364,16009,Attila Gyulassy,55,1059,25,622,480,10,
2431320518,14875,Ondrej Krejcar,326,1417,26,539,119,5,
2806002416,15867,Tobias Schreck,127,612,68,75,978,17,
2810892695,14669,Lauri Malmi,177,2739,20,940,996,11,
2101528751,15532,Brian Fisher,104,1427,24,640,357,9,
36542275,13139,Jayaram K. Udupa,443,13619,53,128,948,15,
1863463115,15346,Andrea Sanna,168,1211,27,526,284,8,
2004137580,14798,Vahid Saadat,128,10906,21,890,1198,16,
2100961798,16127,Benjamin Bach,64,968,43,190,667,13,
2155481213,15540,Achim Ebert,178,657,61,96,348,10,
2251081518,14911,Ellen K. Longmire,177,2631,22,766,424,10,
230994779,15237,Yasufumi Takama,234,682,34,311,166,7,
1258240770,14001,Daniel J. Sandin,73,4556,28,481,1875,11,
1968236442,15106,Kunihiro Nishimura,292,1118,23,735,36,4,
2100559988,14239,Michitaka Hirose,461,2604,52,134,496,8,
2126764247,14070,Reinhard Klein,318,6586,36,280,561,12,
2141517490,15864,Mark W. Jones,71,1223,24,656,639,12,
2149631809,11414,Thomas S. Huang,1386,75366,38,241,920,15,
111041040,13945,Takeshi Furuhashi,426,3561,39,226,47,3,
2158833350,15286,Tomohiro Yoshikawa,230,551,39,224,51,3,
2100324971,15078,Shigeo Takahashi,138,1818,25,599,231,6,
2133795835,16391,Klaus Engel,72,311,32,359,488,10,
2150501184,15412,David J. Duke,109,1581,29,440,278,9,
2013743603,13801,StÃ©phane Ducasse,456,8968,44,183,1711,20,
138336618,15821,Helmut Doleisch,31,1610,27,528,1459,15,
2033418608,14363,Tomoaki Kunugi,423,2224,26,565,150,7,
2038031061,16541,Allen Sanderson,41,493,26,553,104,5,
2059591427,13823,Charles Hansen,250,7436,117,16,3582,29,
2150576810,13590,ClÃ¡udio T. Silva,366,11253,129,10,3400,29,
2296065211,13992,Valerio Pascucci,330,7438,110,19,2549,26,
18512383,16006,Craig Anslow,96,678,34,319,213,7,
2012598026,15993,Uta Hinrichs,67,854,22,783,271,9,
2103426042,14198,James Noble,350,5863,31,373,267,10,
2111668110,15193,Petra Isenberg,112,2732,64,84,1940,24,
2175384922,13851,Andreas Holzinger,566,10181,36,282,550,11,
2103651567,14286,Menno Jan Kraak,414,3812,76,57,2153,18,
2278104853,14277,Takeyoshi Dohi,324,3468,25,621,345,9,
2101266097,15588,Yingcai Wu,94,1885,54,124,1198,15,
2107516595,14961,Tong Yee Lee,142,2853,21,868,600,9,
2149314003,15339,Hwan Gue Cho,194,1088,28,469,68,4,
1982604454,12689,Bahram Javidi,974,23189,76,58,1089,13,
2117074476,15567,Weidong Huang,139,1185,41,204,453,9,
2123236108,14395,Robert J. Zawadzki,297,4857,21,816,304,7,
2139317975,15313,Mao Lin Huang,186,1238,95,32,926,14,
2271381371,15775,Myungjin Cho,96,892,22,763,188,5,
2777710565,15085,Issei Fujishiro,218,1253,73,63,426,11,
2059307601,14472,Gordon Erlebacher,158,3725,29,450,490,13,
2174600408,15927,Thomas Wischgoll,115,685,45,172,364,7,
1989483876,16251,Mario Hlawitschka,77,501,35,287,269,10,
2461567593,12734,David J. Hawkes,659,24649,23,688,889,15,
2576425098,13690,Heinz Otto Peitgen,300,9115,31,378,513,14,
695630297,13995,Giuseppe Di Battista,245,5797,22,752,1874,6,
2136437054,15811,Mario Arturo,173,78,24,654,13,2,
2063580896,15893,Stan Ruecker,128,345,20,956,42,4,
2421208202,13613,Daniel A. Reed,239,7349,21,847,546,12,
323429155,14373,Jos B. T. M. Roerdink,329,4449,58,112,517,12,
2102429099,14522,Matthew O. Ward,142,4368,58,113,2373,22,
2116519607,13861,Juliana Freire,257,8151,38,246,2084,18,1
2119064567,18430,Carlos Scheidegger,6,63,36,276,1580,16,
2138628275,17166,Simon Su,36,96,23,721,57,5,
2165332023,15312,Emanuele Santos,38,1961,21,828,1005,11,
76195016,15822,Andreas Gerndt,124,401,29,455,97,5,
1224470917,15777,Kelly Gaither,55,1684,31,380,260,9,
2111902190,13104,Terry M. Peters,492,15463,85,44,2045,22,
2153175125,15247,Lyn Bartram,93,2009,28,470,416,11,
180245499,15018,Carsten Dachsbacher,167,2629,20,989,140,7,
1991380867,13867,Erik Duval,336,6420,22,772,702,13,
2105223493,15645,Sadanari Mochizuki,117,806,24,639,192,5,
2791355885,15503,Akira Murata,170,784,24,660,173,5,
2078443622,16834,Alexander Wiebel,37,425,20,961,310,8,
664991274,15532,Luciana Nedel,134,1038,20,915,122,6,
1991399815,14846,Malcolm Munro,163,2467,22,773,350,10,
36478446,15661,Emmanuel Pietriga,70,1412,22,749,334,8,
2053495855,15481,Boris Kovalerchuk,154,1118,23,690,79,5,
1833644239,16820,Tanja Blascheck,43,391,24,669,352,10,
2063208255,15152,Tim Wilhelm Nattkemper,201,2273,36,277,420,10,
2255952013,16101,Jukka M. Krisp,117,356,23,703,98,5,
2257265516,15764,Song Zhang,72,1436,34,313,840,14,
2608045918,15440,Michael Burch,127,2007,84,47,1185,19,
2077013643,16683,John Clyne,41,451,20,960,394,7,
2119202230,15348,Daniel F. Keefe,156,1420,60,99,727,15,
2172094290,12776,George G. Robertson,206,16846,48,158,4177,24,1
