Topic,Count,Name,x,y,h,s,v,label
18,3686,protein_structure_prediction_structural_sequence_residue_dock_binding,12.196861,10.351755,40.3,0.6351264080191398,1,5
19,3566,visualization_analytics_visualize_gi_interactive,6.1762877,-4.1758957,325.9,0.2959944213556963,1,2
20,3541,vortex_turbulent_flow_jet_reynolds_wake_velocity_turbulence_cylinder,16.748608,1.7702104,6.0,0.6686474161615544,1,9
21,3388,surface_mesh_curve_spline_subdivision_rational,7.1287775,-4.893984,325.5,0.3432981239713342,1,2
22,3346,health_care_clinical_trial_medical_reporting_review_patient_evidence_systematic,9.914981,14.616471,55.8,0.7012087093725338,1,5
23,3272,neural_network_deep_convolutional_training_cnn_cnns_dnn_segmentation,-4.6071525,9.7716875,115.2,0.4289072653500068,1,1
24,3254,delay_stability_synchronization_nonlinear_control_lyapunov_neural_chaotic_system,9.899429,-0.0012346368,-0.0,0.3930214890669732,1,6
25,3136,citation_journal_science_bibliometric_research_impact_publication_cite,6.4094496,24.30885,75.2,0.9980794432486336,1,8
26,2977,ontology_owl_semantic_web_knowledge_ontological,-8.6095705,14.208817,121.2,0.659587832761102,1,7
27,2916,signature_scheme_encryption_secure_key_security_authentication_cryptographic,-5.5900116,-0.16290373,181.7,0.2220256712837309,1,4
28,2884,le_de_une_la_et_pour_dans_en_du,11.08556,1.3965689,7.2,0.4435913887998627,1,6
29,2871,recommendation_recommender_item_user_collaborative_filter_tag,-7.934475,15.087246,117.7,0.6767677725410322,1,7
30,2768,query_search_web_retrieval_relevance_user_page_document_engine,-3.9462519,10.36159,110.8,0.4401946077717542,1,1
31,2729,der_und_die_eine_von_einer_da_auf_zu,16.108458,-0.5110395,358.2,0.6398505677664201,1,9
32,2500,conference_paper_proceeding_acm_workshop_international_symposium_committee_submission_held,6.341842,24.376564,75.4,1.0,1,8
33,2435,gene_expression_genetic_microarray_regulatory_biological_association_gwas_genome,8.402828,6.0733833,35.9,0.4116207469112995,1,0
34,2416,reality_virtual_augment_ar_vr_environment_immersive_walk,2.2024999,11.340049,79.0,0.4586292218243289,1,8
